Page Number,Archive / Non Archive,Financial Year,Name of the Insurer,UIN,Product Name,Date of Approval,Documents,Type Of Product,document_link
1,Non-Archived,2022-2023,Bajaj Allianz General Insurance Co. Ltd.,BAJHLIP23020V012223,Global Health Care,06-05-2022,BAJHLIP23020V012223.pdf,Individual,https://irdai.gov.in/documents/37343/931203/BAJHLIP23020V012223.pdf/fc18c97a-baf7-336e-bd80-e637b32dcb7d?version=1.0&t=1667711515563&download=true
1,Non-Archived,2022-2023,Star Health And Allied Insurance Co. Ltd,SHAHLIP23017V012223,Star Health Assure Insurance Policy,22-04-2022,SHAHLIP23017V012223.pdf,Individual,https://irdai.gov.in/documents/37343/931203/SHAHLIP23017V012223.pdf/f5426aca-4328-7a97-f93a-aba9e739e2bb?version=1.0&t=1669352686338&download=true
1,Non-Archived,2022-2023,Star Health And Allied Insurance Co. Ltd,SHAHLGP23015V012223,Star Group Health Insurance Policy - Platinum,19-04-2022,SHAHLGP23015V012223.pdf,Add on,https://irdai.gov.in/documents/37343/931203/SHAHLGP23015V012223.pdf/133105be-a809-7527-0815-b2816e471294?version=1.0&t=1669352459886&download=true
1,Non-Archived,2022-2023,Shriram General Insurance Co. Ltd,SGLHLGP23026V012223,Shri Vector Care Group Insurance Policy,24-05-2022,SGLHLGP23026V012223.pdf,Group,https://irdai.gov.in/documents/37343/931203/SGLHLGP23026V012223.pdf/00b3f5a1-6d89-9975-18dc-9b3ee5abe61a?version=1.0&t=1669351866287&download=true
1,Non-Archived,2022-2023,Shriram General Insurance Co. Ltd,SGLHLIP23019V012223,Shri Sarv -Care Health Benefit Package Policy,26-04-2022,SGLHLIP23019V012223.pdf,Individual,https://irdai.gov.in/documents/37343/931203/SGLHLIP23019V012223.pdf/513a488f-883e-f853-8faa-df485b623e3a?version=1.0&t=1669351648133&download=true
1,Non-Archived,2022-2023,Shriram General Insurance Co. Ltd,SGLHLGP23014V012223,Shri Group Hospital Daily Cash Benefit Insurance Policy,13-04-2022,SGLHLGP23014V012223.pdf,Group,https://irdai.gov.in/documents/37343/931203/SGLHLGP23014V012223.pdf/8f393658-d0ee-3f88-5979-a3b6e7f094b8?version=1.0&t=1669351448776&download=true
1,Non-Archived,2022-2023,SBI General Insurance Company Limited,SBIHLGP23005V012223,HospiCash Loan Insurance,05-04-2022,SBIHLGP23005V012223.pdf,Group,https://irdai.gov.in/documents/37343/931203/SBIHLGP23005V012223.pdf/1b3cfe22-c762-61a7-414a-29d7c6bb3eec?version=1.0&t=1669351077027&download=true
1,Non-Archived,2022-2023,Royal Sundaram Gen Ins Co ltd,RSAHLIP23029V012223,Advanced Topup Health Insurance Plan,02-06-2022,RSAHLIP23029V012223.pdf,Individual,https://irdai.gov.in/documents/37343/931203/RSAHLIP23029V012223.pdf/b7d2c470-905a-a968-ecdc-e46ee886170e?version=1.0&t=1669350891324&download=true
1,Non-Archived,2022-2023,Raheja QBE General Insurance Co,RQBHLGP23036V012223,Group Health Super Top Up,08-06-2022,RQBHLGP23036V012223.pdf,Group,https://irdai.gov.in/documents/37343/931203/RQBHLGP23036V012223.pdf/21472cd3-a222-9f43-23af-796c7e6b7526?version=1.0&t=1669350662425&download=true
1,Non-Archived,2022-2023,Niva Bupa Health Insurance Company Limited,NBHTGBP22011V012223,Travel Infinity,12-04-2022,NBHTGBP22011V012223.pdf,Group,https://irdai.gov.in/documents/37343/931203/NBHTGBP22011V012223.pdf/c392bcc1-f6a8-cadd-ab84-495b3273d2c3?version=1.0&t=1669350459879&download=true
1,Non-Archived,2022-2023,SBI General Insurance Company Limited,SBIHLIP23050V012223,Super Health Insurance,23-06-2022,SBIHLIP23050V012223.pdf,Individual,https://irdai.gov.in/documents/37343/931203/SBIHLIP23050V012223.pdf/de34fc22-e5b0-d313-41b1-9bcd4243d600?version=1.0&t=1669351245742&download=true
1,Non-Archived,2022-2023,Navi General Insurance Ltd.,NAVHLIP23003V012223,Navi Smart Health,01-04-2022,NAVHLIP23003V012223.pdf,Individual,https://irdai.gov.in/documents/37343/931203/NAVHLIP23003V012223.pdf/9577514a-6bf3-b51e-5a54-5e7f050e2550?version=1.0&t=1669349979791&download=true
1,Non-Archived,2022-2023,Manipal Cigna Health Insurance Co. Ltd.,MCIHLIA23023V012223,ManipalCigna Health 360,13-05-2022,MCIHLIA23023V012223.pdf,Add-on,https://irdai.gov.in/documents/37343/931203/MCIHLIA23023V012223.pdf/2f03cb93-41a4-e060-4318-f16170d9d23a?version=1.0&t=1669349809015&download=true
1,Non-Archived,2022-2023,Manipal Cigna Health Insurance Co. Ltd.,MCIHLIP23022V032223,ManipalCigna Super Top Up,01-04-2021,MCIHLIP23022V032223.pdf,Revision,https://irdai.gov.in/documents/37343/931203/MCIHLIP23022V032223.pdf/95221470-886d-ff52-2a78-b1031aaddee7?version=1.0&t=1669349551633&download=true
