Page Number,Archive / Non Archive,Financial Year,Name of the Insurer,Product Name,UIN,Type Of Product,Date Of Launch/Effecting Modification,Date Of Closing / Withdrawal,Protection/ Savings/ Retirement,Par/Non-par,Individual/Group,Remarks,Download,document_link
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Titanium Plus Plan,136L063V01,ULIP,2018-06-0404-06-2018,2019-11-3030-11-2019,Savings,Non-par,Individual,,136L063V01_FY 2018-19616 KB,https://irdai.gov.in/documents/37343/563751/136L063V01_FY+2018-19.pdf/3b9f4b97-7045-f82b-2413-c1396eb3dffb?version=1.1&t=1667623221026&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Smart Immediate Income Plan,136N034V02,Non-ULIP,2018-08-0606-08-2018,2018-11-0404-11-2018,Retirement,Non-par,Individual,Immediate Annuity,136N034V02_FY 2018-19480 KB,https://irdai.gov.in/documents/37343/563751/136N034V02_FY+2018-19.pdf/858b47fd-cf45-b763-bd9b-d822684e9b2e?version=1.1&t=1667629887227&download=true
1,Non-Archived,FY 2018-19,Kotak Mahindra Life Insurance Co. Ltd.,Kotak Lifetime Income Plan,107N103V02,,2018-11-1515-11-2018,----,,,,,107N103V02_FY 2018-19476 KB,https://irdai.gov.in/documents/37343/563751/107N103V02_FY+2018-19.pdf/66444c5a-6de1-cc9e-eb34-548431c1c363?version=1.1&t=1668072064715&download=true
1,Non-Archived,FY 2018-19,Kotak Mahindra Life Insurance Co. Ltd.,Kotak Complete Cover Group Plan,107N018V06,,2018-10-3131-10-2018,----,,,,,107N018V06_FY 2018-19387 KB,https://irdai.gov.in/documents/37343/563751/107N018V06_FY+2018-19.pdf/9d46ccae-2c21-5320-49f7-c3b9331a7f83?version=1.1&t=1668072017231&download=true
1,Non-Archived,FY 2018-19,Kotak Mahindra Life Insurance Co. Ltd.,Kotak Term Group Plan,107N007V06,,2018-10-2828-10-2018,----,,,,,107N007V06_FY 2018-19343 KB,https://irdai.gov.in/documents/37343/563751/107N007V06_FY+2018-19.pdf/dcb44a4f-11af-ba09-004d-dc83325b5e58?version=1.1&t=1668071974266&download=true
1,Non-Archived,FY 2018-19,Kotak Mahindra Life Insurance Co. Ltd.,Kotak Raksha Group Micro Insurance Plan,107N101V02,,2018-05-0606-05-2018,----,,,,,107N101V02_FY 2018-19292 KB,https://irdai.gov.in/documents/37343/563751/107N101V02_FY+2018-19.pdf/90c5668c-2fd8-a2e7-7dc8-1a56ed1b1110?version=1.1&t=1668071921532&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Samridh Bhavishya,136N038V03,Non-ULIP,2018-04-0909-04-2018,2019-11-3030-11-2019,Retirement,Non-par,Individual,Immediate Annuity,136N038V03_FY 2018-19395 KB,https://irdai.gov.in/documents/37343/563751/136N038V03_FY+2018-19.pdf/74e2d668-3a98-d281-dacb-498d1a8c45d3?version=1.1&t=1667630197764&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Smart Future Plan,136L037V04,ULIP,2018-05-2121-05-2018,2019-11-3030-11-2019,Savings,Non-par,Individual,,136L037V04_FY 2018-19660 KB,https://irdai.gov.in/documents/37343/563751/136L037V04_FY+2018-19.pdf/b1463e93-0b3e-68aa-116d-f983d4e56c18?version=1.1&t=1667630079576&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Smart Immediate Income Plan,136N034V03,Non-ULIP,2018-11-0505-11-2018,2019-02-1010-02-2019,Retirement,Non-par,Individual,Immediate Annuity,136N034V03_FY 2018-19496 KB,https://irdai.gov.in/documents/37343/563751/136N034V03_FY+2018-19.pdf/d54c0626-e32b-b087-12b0-5d109c83f08e?version=1.1&t=1667629995798&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Guaranteed Savings Plan,136N066V01,Non-ULIP,2018-11-0505-11-2018,2019-11-3030-11-2019,Savings,Non-par,Individual,,136N066V01_FY 2018-19532 KB,https://irdai.gov.in/documents/37343/563751/136N066V01_FY+2018-19.pdf/2e8fc716-88d1-6d1f-d253-9987c3f033aa?version=1.1&t=1667623501584&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance iSelect Term Plan,136N045V02,Non-ULIP,2018-12-1717-12-2018,2019-11-0404-11-2019,Protection,Non-par,Individual,,136N045V02_FY 2018-19685 KB,https://irdai.gov.in/documents/37343/563751/136N045V02_FY+2018-19.pdf/b922f219-8bf7-0926-9c05-46b6cb3c35b9?version=1.1&t=1667630427335&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Smart Goals Plan,136L031V04,ULIP,2018-05-2121-05-2018,2019-11-3030-11-2019,Savings,Non-par,Individual,,136L031V04_FY 2018-19753 KB,https://irdai.gov.in/documents/37343/563751/136L031V04_FY+2018-19.pdf/ed23469c-223b-4fad-5169-ab56fe7e8f5b?version=1.1&t=1667629467383&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Smart Lifelong Plan,136L032V04,ULIP,2018-05-2121-05-2018,2019-11-3030-11-2019,Savings,Non-par,Individual,,136L032V04_FY 2018-19703 KB,https://irdai.gov.in/documents/37343/563751/136L032V04_FY+2018-19.pdf/9f6facbe-5069-6f08-65d1-bba19cfd3914?version=1.1&t=1667629667797&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Group Credit Secure Plan,136N065V01,Non-ULIP,2018-07-2323-07-2018,2019-11-0404-11-2019,Protection,Non-par,Group,,136N065V01_FY 2018-19787 KB,https://irdai.gov.in/documents/37343/563751/136N065V01_FY+2018-19.pdf/71c3165e-3d5d-8850-242d-4091c70ffdbf?version=1.1&t=1667623368641&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Guaranteed Income Plan,136N067V01,Non-ULIP,2019-01-1010-01-2019,2019-11-3030-11-2019,Savings,Non-par,Individual,,136N067V01_FY 2018-19754 KB,https://irdai.gov.in/documents/37343/563751/136N067V01_FY+2018-19.pdf/5c6c6e3f-ba5a-e9b6-5b1f-52fce4fe28ee?version=1.1&t=1667623587947&download=true
