Page Number,Archive / Non Archive,S.no,Financial Year,Name of the Insurer,Product Name,Type Of Product,UIN,Date of Approval,Documents,document_link
1,Non-Archived,GEN4734,GEN4734,SBI General Insurance Company Limited,Enhanced PA Cover for Paid Driver,Add-on,IRDAN144RP0002V02201112/A0046V01202122,09-08-2021,IRDAN144RP0002V02201112A0046V01202122.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN144RP0002V02201112A0046V01202122.pdf/db2177ba-2197-17f1-0a21-3f7044207087?version=1.1&t=1668876527187&download=true
1,Non-Archived,GEN5187,2022-2023,यूनिवर्सल सोम्पो जनरल इंश्योरेंस सीओ. एलटीडी।,साइबर इंश्योरेंस पॉलिसी- रिटेल,मुख्य उत्पाद,IRDAN134RP0019V01202223,06-07-2022,IRDAN134RP0019V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0019V01202223.pdf/8cf8c42e-9c2b-8303-b6b6-9c086ee591d8?version=1.0&t=1675766684891&download=true
1,Non-Archived,GEN5125,2022-2023,Future Generali India Insurance Company Limited,Future Secure Two Wheeler Package Policy,Main Product,IRDAN132RP0016V02200708,24-05-2022,IRDAN132RP0016V02200708.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN132RP0016V02200708.pdf/71314d83-5bea-0c99-f4e7-ff2f3d45c4f7?version=1.0&t=1675765946316&download=true
1,Non-Archived,GEN5275,2022-2023,Universal Sompo General Insurance Co. Ltd.,Marine Cargo Insurance,Main Product,IRDAN134RP0032V01202223,22-09-2022,IRDAN134RP0032V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0032V01202223.pdf/ea453f74-e240-746c-625f-58f060a05e59?version=1.0&t=1675770028671&download=true
1,Non-Archived,GEN5085,2022-2023,Universal Sompo General Insurance Co. Ltd.,Cattle Insurance Policy,Main Product,IRDAN134RP0001V02200809,27-04-2022,IRDAN134RP0001V02200809.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0001V02200809.pdf/7f828afd-689f-e879-823b-b1b10ff929cf?version=1.0&t=1675766473581&download=true
1,Non-Archived,GEN5241,2022-2023,Universal Sompo General Insurance Co. Ltd.,Fidelity Guarantee Insurance Policy,Main Product,IRDAN134RP0025V01202223,29-07-2022,IRDAN134RP0025V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0025V01202223.pdf/c51b04ff-419d-811b-4a0c-21e825fc44ef?version=1.0&t=1675767614140&download=true
1,Non-Archived,GEN5239,2022-2023,Universal Sompo General Insurance Co. Ltd.,Contractor’s Plant & Machinery Insurance Policy- Retail,Main Product,IRDAN134RP0023V01202223,26-07-2022,IRDAN134RP0023V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0023V01202223.pdf/c25c2558-2699-9009-8edb-f352ea65c7f2?version=1.0&t=1675767383173&download=true
1,Non-Archived,GEN5184,2022-2023,Future Generali India Insurance Company Limited,Public Liability Act Insurance,Main Product,IRDAN132RP0020V01202223,13-06-2022,IRDAN132RP0020V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN132RP0020V01202223.pdf/d85d39b5-3a83-735a-94ed-2fb3fc966f67?version=1.0&t=1675766347488&download=true
1,Non-Archived,GEN5240,2022-2023,Universal Sompo General Insurance Co. Ltd.,Employees Compensation Insurance- Retail,Main Product,IRDAN134RP0024V01202223,29-07-2022,IRDAN134RP0024V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0024V01202223.pdf/7f38f2a5-6d68-66b4-13f4-07c50d990443?version=1.0&t=1675767502153&download=true
1,Non-Archived,GEN5244,2022-2023,Universal Sompo General Insurance Co. Ltd.,All Risks Insurance Policy-Retail,Main Product,IRDAN134RP0027V01202223,01-08-2022,IRDAN134RP0027V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0027V01202223.pdf/ba9273fb-d0a7-cf1a-c3d5-895c1977a8e0?version=1.0&t=1675768168489&download=true
1,Non-Archived,GEN5268,2022-2023,Universal Sompo General Insurance Co. Ltd.,Burglary Policy,Main Product,IRDAN134RP0029V01202223,07-09-2022,IRDAN134RP0029V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0029V01202223.pdf/4bcb866d-1f34-9381-7847-12a51ee0bca9?version=1.0&t=1675769647548&download=true
1,Non-Archived,GEN5237,2022-2023,Universal Sompo General Insurance Co. Ltd.,Contractors All Risk Insurance (Retail),Main Product,IRDAN134RP0021V01202223,26-07-2022,IRDAN134RP0021V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0021V01202223.pdf/f08863f1-677e-e519-edd5-6ef9499318f6?version=1.0&t=1675767141900&download=true
1,Non-Archived,GEN5242,2022-2023,Universal Sompo General Insurance Co. Ltd.,Money Insurance Policy,Main Product,IRDAN134RP0026V01202223,29-07-2022,IRDAN134RP0026V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0026V01202223.pdf/e383f9d7-b7ba-5206-2f96-c1d8a4706e50?version=1.0&t=1675767813536&download=true
1,Non-Archived,GEN5236,2022-2023,Universal Sompo General Insurance Co. Ltd.,Erection All Risk Insurance,Main Product,IRDAN134RP0020V01202223,26-07-2022,IRDAN134RP0020V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0020V01202223.pdf/3d4b1e45-faa4-4854-6b63-123c6ba35ef1?version=1.0&t=1675766956147&download=true
1,Non-Archived,GEN5183,2022-2023,Future Generali India Insurance Company Limited,Products Liability Insurance,Main Product,IRDAN132RP0019V01202223,13-06-2022,IRDAN132RP0019V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN132RP0019V01202223.pdf/d9b271c1-11db-434f-3bb5-2cbef6097937?version=1.0&t=1675766182617&download=true
1,Non-Archived,GEN5238,2022-2023,Universal Sompo General Insurance Co. Ltd.,Machinery Breakdown Insurance Policy - Retail,Main Product,IRDAN134RP0022V01202223,26-07-2022,IRDAN134RP0022V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0022V01202223.pdf/527bb9af-3f0a-cc02-ff62-01340569af61?version=1.0&t=1675767255733&download=true
1,Non-Archived,GEN5267,2022-2023,Universal Sompo General Insurance Co. Ltd.,Boiler And Pressure Plant Insurance Policy (Retail),Main Product,IRDAN134RP0030V01202223,07-09-2022,IRDAN134RP0030V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0030V01202223.pdf/1a112cd7-45e5-e291-64ad-76cc0cf776d1?version=1.0&t=1675769776857&download=true
